participantId,trialId,visualization,trialOrder,responseId,answers,correct_answers,error,cm_error,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 1,bubble ,1,q-numerical,100,85,15,3.918863237,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 2,bar ,2,q-numerical,10,10,0,0,,,Average cm_error,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 3,bar ,3,q-numerical,50,50,0,0,,,bar,1.530198872
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 4,bubble ,4,q-numerical,80,60,20,4.330916878,,,pie,2.45656234
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 5,pie ,5,q-numerical,5,10,5,2.357552005,,,bubble,2.402818041
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 6,bubble ,6,q-numerical,100,90,10,3.339850003,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 7,pie ,7,q-numerical,20,15,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 8,bubble ,8,q-numerical,10,10,0,0,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 9,bar ,9,q-numerical,60,70,10,3.339850003,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 10,pie ,10,q-numerical,60,45,15,3.918863237,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 11,bar ,11,q-numerical,40,40,0,0,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 12,pie ,12,q-numerical,80,65,15,3.918863237,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 13,bubble ,13,q-numerical,50,40,10,3.339850003,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 14,bubble ,14,q-numerical,40,30,10,3.339850003,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 15,bar ,15,q-numerical,85,80,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 16,bar ,16,q-numerical,90,80,10,3.339850003,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 17,pie ,17,q-numerical,80,80,0,0,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 18,bubble ,18,q-numerical,50,45,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 19,pie ,19,q-numerical,25,30,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 20,bar ,20,q-numerical,20,25,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 21,pie ,21,q-numerical,30,35,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 22,pie ,22,q-numerical,75,70,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 23,bar ,23,q-numerical,95,90,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 24,bubble ,24,q-numerical,30,25,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 25,pie ,25,q-numerical,40,25,15,3.918863237,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 26,bubble ,26,q-numerical,100,65,35,5.13442632,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 27,bar ,27,q-numerical,30,35,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 28,bubble ,28,q-numerical,65,50,15,3.918863237,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 29,bar ,29,q-numerical,60,60,0,0,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 30,bar ,30,q-numerical,15,15,0,0,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 31,bubble ,31,q-numerical,70,55,15,3.918863237,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 32,pie ,32,q-numerical,30,35,5,2.357552005,,,,
33803897-5f6e-4e84-926f-f7ff4667d6e7,Trial 33,bubble ,33,q-numerical,40,30,10,3.339850003,,,,
